source,phase_or_run,job_id,array_task_id,file_type,relative_path,bytes,lines,modified_local_time,status_hint,last_nonempty_line
server,phase2_five_condition,3762,,err,server_snapshot/runs/phase2_five_condition/logs/slurm_judge_3762.err,29195,377,2026-06-21 09:12:56,log_present,"Loading weights: 100%|██████████| 963/963 [04:36<00:00,  3.48it/s]"
server,phase2_five_condition,3762,,out,server_snapshot/runs/phase2_five_condition/logs/slurm_judge_3762.out,0,0,2026-06-21 09:08:06,empty,
server,phase2_five_condition,3763,,err,server_snapshot/runs/phase2_five_condition/logs/slurm_judge_3763.err,13213,172,2026-06-21 09:20:14,log_present,"Loading weights: 100%|██████████| 963/963 [00:34<00:00, 27.82it/s]"
server,phase2_five_condition,3763,,out,server_snapshot/runs/phase2_five_condition/logs/slurm_judge_3763.out,0,0,2026-06-21 09:19:28,empty,
server,phase2_five_condition,3750,0,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3750_0.err,3842,50,2026-06-21 00:06:54,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 104.56it/s]"
server,phase2_five_condition,3750,0,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3750_0.out,0,0,2026-06-21 00:06:39,empty,
server,phase2_five_condition,3751,0,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_0.err,3908,51,2026-06-21 00:10:33,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 103.63it/s]"
server,phase2_five_condition,3751,0,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_0.out,0,0,2026-06-21 00:10:18,empty,
server,phase2_five_condition,3751,1,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_1.err,3839,50,2026-06-21 00:10:33,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 103.35it/s]"
server,phase2_five_condition,3751,1,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_1.out,0,0,2026-06-21 00:10:18,empty,
server,phase2_five_condition,3751,2,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_2.err,2500,33,2026-06-21 01:05:02,log_present,"Loading weights: 100%|██████████| 579/579 [00:03<00:00, 167.39it/s]"
server,phase2_five_condition,3751,2,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_2.out,0,0,2026-06-21 01:04:49,empty,
server,phase2_five_condition,3751,3,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_3.err,3767,49,2026-06-21 01:05:27,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 108.39it/s]"
server,phase2_five_condition,3751,3,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_3.out,0,0,2026-06-21 01:05:15,empty,
server,phase2_five_condition,3751,4,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_4.err,3911,51,2026-06-21 01:59:56,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 104.16it/s]"
server,phase2_five_condition,3751,4,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_4.out,0,0,2026-06-21 01:59:40,empty,
server,phase2_five_condition,3751,5,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_5.err,3913,51,2026-06-21 02:01:16,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 106.43it/s]"
server,phase2_five_condition,3751,5,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_5.out,0,0,2026-06-21 02:01:02,empty,
server,phase2_five_condition,3751,6,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_6.err,2425,32,2026-06-21 02:55:33,log_present,"Loading weights: 100%|██████████| 579/579 [00:03<00:00, 174.24it/s]"
server,phase2_five_condition,3751,6,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_6.out,0,0,2026-06-21 02:55:20,empty,
server,phase2_five_condition,3751,7,err,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_7.err,3913,51,2026-06-21 02:56:08,log_present,"Loading weights: 100%|██████████| 579/579 [00:05<00:00, 105.81it/s]"
server,phase2_five_condition,3751,7,out,server_snapshot/runs/phase2_five_condition/logs/slurm_model2_3751_7.out,0,0,2026-06-21 02:55:54,empty,
server,phase2_main,,0,log,server_snapshot/runs/phase2_main/logs/qwen_shard_0.log,2737,38,2026-06-18 20:03:54,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 64.15it/s]"
server,phase2_main,,1,log,server_snapshot/runs/phase2_main/logs/qwen_shard_1.log,2516,35,2026-06-18 20:03:08,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 66.42it/s]"
server,phase2_main,,2,log,server_snapshot/runs/phase2_main/logs/qwen_shard_2.log,2883,40,2026-06-18 20:03:18,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 62.17it/s]"
server,phase2_main,,3,log,server_snapshot/runs/phase2_main/logs/qwen_shard_3.log,2600,36,2026-06-18 20:04:05,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 66.79it/s]"
server,phase2_main,,4,log,server_snapshot/runs/phase2_main/logs/qwen_shard_4.log,2735,38,2026-06-18 20:03:26,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 63.19it/s]"
server,phase2_main,,5,log,server_snapshot/runs/phase2_main/logs/qwen_shard_5.log,2598,36,2026-06-18 20:03:29,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 62.51it/s]"
server,phase2_main,,6,log,server_snapshot/runs/phase2_main/logs/qwen_shard_6.log,1984,28,2026-06-18 20:03:21,log_present,"Loading weights: 100%|██████████| 339/339 [00:02<00:00, 114.42it/s]"
server,phase2_main,,7,log,server_snapshot/runs/phase2_main/logs/qwen_shard_7.log,2667,37,2026-06-18 20:03:08,log_present,"Loading weights: 100%|██████████| 339/339 [00:05<00:00, 64.31it/s]"
server,phase2_main,3693,0,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_0.err,6706,88,2026-06-18 20:31:55,log_present,"Loading weights: 100%|██████████| 339/339 [00:29<00:00, 11.35it/s]"
server,phase2_main,3693,0,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_0.out,0,0,2026-06-18 20:31:13,empty,
server,phase2_main,3693,1,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_1.err,6336,83,2026-06-18 20:32:24,log_present,"Loading weights: 100%|██████████| 339/339 [00:32<00:00, 10.30it/s]"
server,phase2_main,3693,1,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_1.out,0,0,2026-06-18 20:31:13,empty,
server,phase2_main,3693,2,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_2.err,6192,81,2026-06-18 20:32:24,log_present,"Loading weights: 100%|██████████| 339/339 [00:32<00:00, 10.30it/s]"
server,phase2_main,3693,2,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_2.out,0,0,2026-06-18 20:31:13,empty,
server,phase2_main,3693,3,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_3.err,2465,33,2026-06-18 20:45:28,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 96.28it/s]"
server,phase2_main,3693,3,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_3.out,0,0,2026-06-18 20:44:45,empty,
server,phase2_main,3693,4,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_4.err,2337,31,2026-06-18 20:45:38,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 103.18it/s]"
server,phase2_main,3693,4,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_4.out,0,0,2026-06-18 20:44:58,empty,
server,phase2_main,3693,5,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_5.err,1829,25,2026-06-18 20:45:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:04<00:00, 78.75it/s]"
server,phase2_main,3693,5,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_5.out,0,0,2026-06-18 20:45:07,empty,
server,phase2_main,3693,6,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_6.err,2393,32,2026-06-18 20:58:10,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 95.92it/s]"
server,phase2_main,3693,6,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_6.out,0,0,2026-06-18 20:57:55,empty,
server,phase2_main,3693,7,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_7.err,2328,31,2026-06-18 20:58:10,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 95.48it/s]"
server,phase2_main,3693,7,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3693_7.out,0,0,2026-06-18 20:57:58,empty,
server,phase2_main,3741,0,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_0.err,2393,32,2026-06-20 22:32:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 94.56it/s]"
server,phase2_main,3741,0,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_0.out,0,0,2026-06-20 22:31:41,empty,
server,phase2_main,3741,1,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_1.err,2464,33,2026-06-20 22:32:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 95.15it/s]"
server,phase2_main,3741,1,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_1.out,0,0,2026-06-20 22:31:41,empty,
server,phase2_main,3741,2,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_2.err,2398,32,2026-06-20 22:32:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 93.22it/s]"
server,phase2_main,3741,2,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_2.out,0,0,2026-06-20 22:31:41,empty,
server,phase2_main,3741,3,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_3.err,2325,31,2026-06-20 22:32:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 92.84it/s]"
server,phase2_main,3741,3,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_3.out,0,0,2026-06-20 22:31:41,empty,
server,phase2_main,3741,4,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_4.err,2395,32,2026-06-20 22:32:22,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 93.83it/s]"
server,phase2_main,3741,4,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_4.out,0,0,2026-06-20 22:31:41,empty,
server,phase2_main,3741,5,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_5.err,2332,31,2026-06-20 22:36:32,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 100.12it/s]"
server,phase2_main,3741,5,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_5.out,0,0,2026-06-20 22:36:13,empty,
server,phase2_main,3741,6,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_6.err,2400,32,2026-06-20 22:36:32,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 101.05it/s]"
server,phase2_main,3741,6,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_6.out,0,0,2026-06-20 22:36:19,empty,
server,phase2_main,3741,7,err,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_7.err,2338,31,2026-06-20 22:36:32,log_present,"Loading weights: 100%|██████████| 339/339 [00:03<00:00, 102.37it/s]"
server,phase2_main,3741,7,out,server_snapshot/runs/phase2_main/logs/slurm_qwen_3741_7.out,0,0,2026-06-20 22:36:21,empty,
server,phase2_mistral_smoke,3765,,err,server_snapshot/runs/phase2_mistral_smoke/logs/slurm_3765.err,963,12,2026-06-21 11:19:17,needs_review,slurmstepd: error: *** JOB 3765 ON gpu-07 CANCELLED AT 2026-06-21T11:08:51 ***
server,phase2_mistral_smoke,3765,,out,server_snapshot/runs/phase2_mistral_smoke/logs/slurm_3765.out,0,0,2026-06-21 11:04:35,empty,
server,phase2_unique,3691,,err,server_snapshot/runs/phase2_unique/logs/slurm_reader_3691.err,131,1,2026-06-18 20:22:30,log_present,/var/spool/slurmd/job03691/slurm_script: line 17: /local/ssd1/software/anaconda3/etc/profile.d/conda.sh: No such file or directory
