confidence,model_name,popularity_bin,condition,acc,conf,n_questions
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,closed,0.24280000000000002,0.4110474234044034,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,irr,0.0864,0.7161335546996203,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,mis,0.0112,0.740286548445998,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,same_entity_irr,0.23,0.5918301382350726,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,sup,0.6068,0.8388109636781466,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,closed,0.0824,0.327124472003554,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,irr,0.0124,0.8608612763707132,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,mis,0.002,0.8978675990153104,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,same_entity_irr,0.148,0.6993801048164378,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,sup,0.6544,0.8613658842950703,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,closed,0.0932,0.3286779212742187,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,irr,0.0228,0.8251874597204968,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,mis,0.0096,0.8511619891131139,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,same_entity_irr,0.15159999999999998,0.5986537662673718,500
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,sup,0.6992,0.865745522639174,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,closed,0.24280000000000002,0.739872,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,irr,0.0864,0.37886000000000003,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,mis,0.0112,0.9272,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,same_entity_irr,0.23,0.7317400000000001,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,sup,0.6068,0.9252400000000001,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,closed,0.0824,0.7025359999999999,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,irr,0.0124,0.28006,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,mis,0.002,0.96908,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,same_entity_irr,0.148,0.74566,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,sup,0.6544,0.90022,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,closed,0.0932,0.70984,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,irr,0.0228,0.29228,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,mis,0.0096,0.955,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,same_entity_irr,0.15159999999999998,0.70228,500
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,sup,0.6992,0.94056,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,closed,0.24280000000000002,0.756265369619054,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,irr,0.0864,0.8263278981872143,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,mis,0.0112,0.9827251333306252,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,same_entity_irr,0.23,0.8282715459851799,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,high,sup,0.6068,0.9629173546995365,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,closed,0.0824,0.711656664590558,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,irr,0.0124,0.839140704768998,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,mis,0.002,0.9735136136602411,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,same_entity_irr,0.148,0.8636096093272084,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,low,sup,0.6544,0.9494966353002785,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,closed,0.0932,0.6974693440811315,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,irr,0.0228,0.8283544596547999,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,mis,0.0096,0.9783912039746333,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,same_entity_irr,0.15159999999999998,0.8295015214323579,500
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,mid,sup,0.6992,0.9637795961635155,500
