confidence,subgroup,n_questions,estimator,evidence_conditions,sigma2_P,sigma2_E,sigma2_PE,sigma2_eps,rho_P,rho_E,rho_PE,rho_eps,mixedlm_converged
conf_ptrue,closed_known,206,REML MixedLM,"['sup', 'mis', 'irr']",1.5894533587169857,4.2006419683132785,52.31598275740617,3.6138363781554577,0.025752682461676852,0.06805975032352427,0.8476353736542297,0.05855219356056925,True
conf_ptrue,closed_unknown,1294,REML MixedLM,"['sup', 'mis', 'irr']",1.9600616267775386,0.20171349312303974,29.626385098577042,4.242183858732386,0.054400302771943854,0.005598433717168634,0.8222620643058579,0.11773919920502957,True
conf_ptrue,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",0.4975066251622323,2.094189455788135,54.03891016650876,4.482580195538652,0.008140741043281594,0.03426739101129103,0.8842430465790321,0.07334882136639526,True
conf_ptrue,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",1.7622925216635004,0.3342905191865027,27.797990685422874,4.078010683297869,0.05187396108631135,0.0098400084949771,0.8182477479573687,0.12003828246134296,True
conf_verbalized,closed_known,206,REML MixedLM,"['sup', 'mis', 'irr']",1.5343142811311702e-07,14.545995544228171,31.17930105386199,6.022653372483588,2.9649759603123343e-09,0.281093173920342,0.6025224376839293,0.11638438543075275,True
conf_verbalized,closed_unknown,1294,REML MixedLM,"['sup', 'mis', 'irr']",0.021304804761516173,30.265452104148576,17.815622880493223,7.685154918864182,0.00038189184865268624,0.5425128079671775,0.3193477355408755,0.13775756464329425,True
conf_verbalized,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",2.945793887015028e-07,16.52729064741906,32.517377509320745,6.086000345926605,5.3432943065660635e-09,0.29978396794353285,0.5898237445460708,0.11039228216710201,True
conf_verbalized,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",0.1797048938985404,30.739317432029612,16.691784111956448,7.784156609424035,0.0032440655975357916,0.5549117779134086,0.3013231383095474,0.14052101817950807,True
conf_seqlik,closed_known,206,REML MixedLM,"['sup', 'mis', 'irr']",1.3654617535719549,4.818767199330474,5.437187383763814,0.050458731330536216,0.11698735169946488,0.41285287678781757,0.46583666738106955,0.0043231041316480045,True
conf_seqlik,closed_unknown,1294,REML MixedLM,"['sup', 'mis', 'irr']",0.9712119305350448,6.774283370347977,5.097110823561526,0.06697680647683084,0.07523185959856009,0.5247484296430702,0.39483156433758915,0.00518814642078066,True
conf_seqlik,mis_source_counter,289,REML MixedLM,"['sup', 'mis', 'irr']",1.4536934361787186,4.101056707667317,6.281027559178125,0.06277236915962489,0.12217399829052591,0.34466860943458083,0.5278817604727989,0.005275631802094358,True
conf_seqlik,mis_source_parametric,1211,REML MixedLM,"['sup', 'mis', 'irr']",0.9574437080785614,7.123822220397709,4.8063967579500595,0.06517055826136489,0.07391770510681397,0.5499817750930577,0.3710691450398539,0.005031374760274405,True
