subset,confidence,n_questions,estimator,conditions,coding,beta_relevance,beta_veracity,sigma2_P,sigma2_relevance,sigma2_veracity,sigma2_PE,sigma2_eps,rho_P,rho_relevance,rho_veracity,rho_PE,rho_eps,mixedlm_converged,direct_conditions,direct_rho_veracity_from_condition_main_effect,direct_sigma2_veracity,direct_estimator
all,conf_ptrue,1500,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",15.658734892372838,-1.5225161841351416,0.3032681544516534,54.48799520658102,0.3863425884922387,18.020060434074917,0.863266658292465,0.004094846526982193,0.735718454637347,0.005216550381207127,0.24331398071749838,0.011656167736965472,True,"['sup', 'mis']",0.024305188165684458,0.5795138827383464,REML MixedLM
all,conf_verbalized,1500,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",14.07750892594303,-0.8733994733729898,0.5489451664148193,44.03916834666793,0.127137773348036,17.917476673035264,1.7745130812075667,0.008523034949877089,0.6837611367153095,0.001973967077207167,0.278190408151783,0.027551453105823135,True,"['sup', 'mis']",0.009058123025770201,0.1907066600219985,REML MixedLM
all,conf_seqlik,1500,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",4.8811324880620095,-1.0082080685549402,0.9813371533122713,5.294545414669871,0.1694139182498805,4.983895210397679,0.08203194350363346,0.0852504637205454,0.4599463601949918,0.014717281459047231,0.43295963715113356,0.007126257474282143,True,"['sup', 'mis']",0.03194835371487398,0.2541208773745821,REML MixedLM
closed_known,conf_ptrue,144,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",14.229213589475917,0.23069470564219213,0.45131617709740834,44.993448749983564,0.00887000786855628,24.624588125178338,0.8721453048147084,0.006361012458399145,0.6341538428462249,0.00012501707986817243,0.3470677981334575,0.012292329482050241,True,"['sup', 'mis']",0.0005186257011577644,0.013305011802849306,REML MixedLM
closed_known,conf_verbalized,144,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",12.815018443441245,0.9143325720626618,0.5107864356139338,36.49437726794205,0.13933400872245377,24.596689157782595,1.1297548107006685,0.00812436432410289,0.5804649380511698,0.0022161908983318046,0.3912250795077418,0.0179694272186537,True,"['sup', 'mis']",0.011203789249300017,0.20900101308189134,REML MixedLM
closed_known,conf_seqlik,144,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",4.193706578032228,-0.523762242902036,1.0704598757932196,3.9082610805846176,0.04572114784829523,5.227967373403416,0.07699856697520874,0.10363225764445821,0.37836254156170884,0.004426308618157091,0.5061245863100626,0.007454305865613134,True,"['sup', 'mis']",0.008065040775958794,0.06858172177229185,REML MixedLM
sup_reader_gold_pass,conf_ptrue,1220,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",16.234727946817582,0.03246743831047439,0.2784257621582686,58.57030922381774,0.00017568909174074337,13.020522422301777,0.6225224386808351,0.003840781506022514,0.807955983401367,2.423566731530272e-06,0.1796133422808087,0.008587469245070287,True,"['sup', 'mis']",1.7868567721590495e-05,0.00026353363762542163,REML MixedLM
sup_reader_gold_pass,conf_verbalized,1220,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",14.67463383679392,0.43136380921566875,0.21395247099117182,47.85441738755045,0.031012455983508644,14.219766979656841,1.6721647820559078,0.0033434611256189153,0.7478267649034012,0.0004846353982754764,0.22221401740110722,0.026131121171597237,True,"['sup', 'mis']",0.003359560091562428,0.046518683975254174,REML MixedLM
sup_reader_gold_pass,conf_seqlik,1220,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",5.156259230579112,-0.411969241826964,1.048692879947148,5.908224278429398,0.02828644270191392,4.3932516659431755,0.07685993542430111,0.09154640107355853,0.5157626982772046,0.002469285410485624,0.3835120717590669,0.006709543479684435,True,"['sup', 'mis']",0.006158864146772273,0.04242966405280718,REML MixedLM
closed_known_and_sup_reader_gold_pass,conf_ptrue,131,REML MixedLM reparameterized,"['sup', 'mis', 'irr']","{'relevance_c': {'sup': 0.3333333333333333, 'mis': 0.3333333333333333, 'irr': -0.6666666666666666}, 'veracity': {'sup': 0.5, 'mis': -0.5, 'irr': 0.0}}",14.437242130472885,1.428825510051502,0.6024301614578396,46.31865785197805,0.34025705636232245,21.24262409348138,0.7297085731394791,0.008701403437664594,0.6690191734190223,0.004914617675775104,0.30682501331728473,0.01053979215025334,True,"['sup', 'mis']",0.02528093018690379,0.5103855845440015,REML MixedLM
