confidence,block,metric,value,ci_low,ci_high,n_questions,n_cells,bootstrap_B
conf_ptrue,staged_rho,rho_veracity,0.026000204642009396,0.017366737906118458,0.036040995758831434,300,1500,300
conf_ptrue,staged_rho,rho_answer_support,0.13065625240662063,0.10871008594827182,0.15452680187370985,300,1500,300
conf_ptrue,staged_rho,rho_topicality,0.49909907880359283,0.4534520829285315,0.5326257049225012,300,1500,300
conf_ptrue,staged_rho,rho_v_over_as,0.19899701822989002,0.12538451906713072,0.31775048894586877,300,1500,300
conf_ptrue,staged_rho,rho_v_over_top,0.052094274957059344,0.03338346157741664,0.07469436022474335,300,1500,300
conf_verbalized,staged_rho,rho_veracity,0.00057927363023306,8.239452239867336e-05,0.001846068703915383,300,1500,300
conf_verbalized,staged_rho,rho_answer_support,0.0625385275183957,0.043567378225623316,0.0839824400095937,300,1500,300
conf_verbalized,staged_rho,rho_topicality,0.3631151799635361,0.3194839056027914,0.41276986813282857,300,1500,300
conf_verbalized,staged_rho,rho_v_over_as,0.009262668201816341,0.0012443614327634187,0.03440678420770681,300,1500,300
conf_verbalized,staged_rho,rho_v_over_top,0.0015952889391493644,0.00022300447157902085,0.005353250573738531,300,1500,300
